,prime_genre,total,top 3
0,music,138,abandon musicality mixture
1,book,81,zoom half han
2,shopping,102,zoom dressed distance
3,news,69,zoom domestic passionate
4,lifestyle,119,zoom imagination horizontal
5,food & drink,55,zip item introduction
6,sports,111,license partial pat
7,medical,23,lung prevent must
8,photo & video,347,cross reminder cliche
9,travel,71,zone install importantly
10,education,441,lewis lanthanide lane
11,social networking,154,leverage improving increasing
12,health & fitness,179,documentation expiration pullen
13,catalogs,9,zoom grid freely
14,games,3657,bellows enliven enraged
15,entertainment,507,ligne jagger jihad
16,utilities,236,quite rank quit
17,weather,70,charming pull increase
18,navigation,44,zoom navigator officially
19,finance,70,zip input isle
20,business,56,ability personnel plain
21,reference,62,abiding newly nevertheless
22,productivity,176,listing japan interrupting
